1,2,1111
1,2,1112
1,2,1113
1,2,1114
1,2,1115
1,2,1116
1,2,1117
1,2,1118
1,2,1119
1,2,1120
1,2,1121
1,2,1122
1,2,1123
1,2,1124
1,2,1125
1,2,1126
1,2,1127
2,2,1128
2,2,1129
2,2,1130
2,2,1131
2,2,1132
2,2,1133
2,2,1134
2,2,1135
2,2,1136
2,2,1137
2,2,1138
2,2,1139
3,1,1140
3,1,1141
3,1,1142
3,1,1143
3,1,1144
3,1,1145
3,1,1146
3,1,1147
3,1,1148
3,1,1149
3,1,1150
3,1,1151
3,1,1152
3,1,1153
3,1,1154
3,1,1155
3,1,1156
3,1,1157
3,1,1158
3,1,1159
3,1,1160
4,1,1173
4,1,1174
4,1,1175
4,1,1176
4,1,1177
4,1,1178
4,1,1179
4,1,1180
4,1,1181
4,1,1182
4,1,1183
4,1,1184
4,1,1185
4,1,1186
4,1,1187
5,2,1161
5,2,1162
5,2,1163
5,2,1164
5,2,1165
5,2,1166
5,2,1167
5,2,1168
5,2,1169
5,2,1170
5,2,1171
5,2,1172
5,2,1188
5,2,1189
5,2,1190
5,2,1191
5,2,1192
5,2,1193
5,2,1194
5,2,1195
6,2,1196
6,2,1197
6,2,1198
6,2,1199
6,2,1200
6,2,1201
6,2,1202
6,2,1203
6,2,1204
6,2,1205
6,2,1206
6,2,1207
6,2,1208
6,2,1209
6,2,1210
6,2,1211
6,2,1212
6,2,1213
6,2,1214
6,2,1215
